complain_id|driver_id|route_id|connection_id|topic_id|comment|severity|complain_datetime
1|1|28|1|1|I’m writing to express my frustration with the Operations department after my recent trip on route 28, which took an exhausting 13.5 hours and ended up being late. Not only did I face the usual road challenges, but I also experienced an assault during the trip that left me shaken and added an unnecessary level of stress—my stress level peaked at a 10.5 out of 10! To top it off, my overall trouble score for this trip was an 8.1, which is unacceptable. I expected better support from Operations, especially when it comes to ensuring our safety and timely deliveries. This situation needs serious attention; it feels like my concerns are falling on deaf ears.|1|2024-03-02 21:37:53
2|1|33|1|1|I just wrapped up route 33, and honestly, I need to vent about the Operations department because this trip was a nightmare. Not only did I end up taking a grueling 19.4 hours to deliver, which was way past the deadline, but I also faced an assault during the trip that left me shaken. The stress level was through the roof at 15.7 out of 10, and the whole experience was a solid 8.8 on the trouble scale. It feels like nobody in Operations is taking our safety and timeliness seriously, and I’m really frustrated that we’re being put in these kinds of situations without proper support or communication.|1|2024-03-08 08:39:49
3|1|34|1|1|I just wrapped up route 34, and while I managed to deliver on time, I have some serious issues with the Finance department that need addressing. First off, the reimbursement for my fuel expenses was way off; I've submitted the receipts, but they seem to have misplaced them or just not processed them correctly, which is frustrating given how much I rely on those funds to cover my costs. On top of that, my pay for this trip was delayed, and it’s really impacting my finances. I get that things can get busy, but this isn't the first time I've faced delays or errors with my payments. I’m feeling stressed out and it just adds unnecessary pressure to an already demanding job. I really hope you can sort this out soon because it’s becoming a real headache.|1|2024-03-10 05:45:19
4|1|46|1|1|I just wrapped up route 46, and honestly, I need to voice my frustration with the Operations department. While I did manage to deliver on time, the whole trip was a nightmare with constant miscommunication about load details and delivery schedules that left me feeling stressed out the entire time, rating my stress level a solid 10.3 out of 10. The lack of clear directions made navigating through some of the tricky spots a real hassle, and I found myself wasting precious time trying to figure out where to go next. The overall trouble score might be low, but that doesn’t reflect the headache I dealt with on the road. I really think we need to tighten up communication and planning to make these trips smoother for everyone involved.|1|2024-03-12 07:46:18
5|1|34|1|1|I just wrapped up route 34, which took me a grueling 21.5 hours, and while I delivered on time, I’ve got some serious beef with the Finance department. First off, my mileage reimbursement was messed up – I’m missing at least a couple hundred bucks that I’m owed. Plus, there’s been zero communication about the payment timeline, which has me stressed out to the max, sitting at an 8 out of 10 on the stress scale. It feels like I'm just left hanging without any updates or support, and that's not how we should be treated after putting in hard work out on the road. I really hope you can sort this out quickly because it’s becoming a real headache.|1|2024-03-15 17:03:42
6|1|29|1|1|I’m writing to express my frustration with the Human Resources department regarding my recent trip on route 29, which took over 6 hours and was anything but smooth. Not only was the delivery late, but I also faced an unsettling situation that left me feeling unsafe when I experienced an assault during the trip. This kind of stress is unbearable, with my stress level peaking at an 11.5 out of 10, and honestly, my overall trouble score was an 8.1. I expected support and communication from HR, but it feels like there’s a lack of concern for our well-being out on the road, especially in such dangerous situations. We need better protocols and support systems in place to handle these issues effectively.|1|2024-04-09 11:32:47
7|1|45|1|1|I just wrapped up route 45, and I really need to voice my frustrations about the Operations department. First off, I spent over 20 hours on this trip, and while I managed to deliver on time, the stress level was through the roof—like a solid 10.8/10. The load was poorly organized, which made it a pain to secure and check at the start, and the directions provided were vague and confusing, causing me to waste time trying to figure out where I was going. I’ve done this job for 5 years now, and it’s frustrating that the Ops team isn’t putting in the effort to streamline these processes. It’s like they don’t realize how their lack of communication and planning adds unnecessary stress to our jobs. We need better support to do our jobs right!|1|2024-04-12 04:15:43
8|1|46|1|1|I'm writing to express my frustration with the Human Resources department after my recent run on route 46, which took an exhausting 17.7 hours and ended up being late. Not only did I have to deal with the stress of a delayed delivery, but I also experienced an unsettling incident of assault that left me shaken and feeling unsupported. The stress level was through the roof, hitting a staggering 15.9 out of 10, and overall, I’d rate this trip an 8.3 in terms of trouble. It’s disheartening that I had to manage these serious issues without any guidance or follow-up from HR, which makes me question the support drivers like me are supposed to receive. We need to address these concerns seriously because this isn’t just about delivery times; it’s about our safety and well-being on the road.|1|2024-04-13 19:25:38
9|1|1|1|1|I’m writing to express my frustration with the Human Resources department regarding my recent trip, which took over 12 hours to complete. While I managed to deliver on time, the stress level I experienced was through the roof, sitting at nearly 13 out of 10. I’ve been trying to get clarification on my benefits and the recent changes in scheduling policies, but every time I reach out, it feels like I'm hitting a brick wall. I’ve spent a lot of time waiting for responses that never come, which only adds to the stress on the road. It’s really disappointing, especially since we all rely on HR to support us in our roles—not to make things harder.|1|2024-04-17 10:12:03
10|1|45|1|1|I just wrapped up route 45, which took me nearly 21 hours, and while I delivered on time with no major issues, I've got some serious gripes with the Finance department. First off, my reimbursement for fuel hasn't been processed yet, and I’m still waiting on those mileage expenses from last month. It’s frustrating because I rely on that money to manage my costs, and the lack of communication from Finance is really adding to my stress. I shouldn't have to chase down payments for work I've already completed, especially when the trip itself was pretty smooth despite my stress level hitting 11 out of 10. Can someone please look into this?|1|2024-04-20 11:03:49
11|1|17|1|1|I just wrapped up my route 17, which took me a solid 8.87 hours, and while I managed to deliver on time, I’ve got to say the experience was pretty frustrating due to some operational hiccups. First off, the route was poorly planned; I hit multiple roadblocks that weren't mentioned in the pre-trip briefing, which added unnecessary stress and made me feel like I was driving blind. Plus, the lack of communication about fuel stops was a pain—running low on gas in the middle of nowhere is not ideal, and it really ramped up my stress level to nearly a 9 out of 10. Overall, I’d rate my trouble score as low, but it shouldn’t have been that high in the first place! We need better planning and communication from the Operations team to avoid these issues in the future.|1|2024-04-21 14:08:33
12|1|50|1|1|I just wrapped up route 50, which took me a solid 26.5 hours, and while the delivery went smoothly and on time, I’ve got some serious beef with the Finance department. I noticed a discrepancy in my pay for this trip, and it’s been frustrating trying to get a clear answer from them. It feels like I’m getting the runaround every time I reach out for clarification, and honestly, it’s adding unnecessary stress to an already demanding job. I shouldn’t have to chase down my hard-earned money after a long haul. Can we please get this sorted out?|1|2024-04-28 04:31:52
13|1|33|1|1|I just wrapped up route 33, which took me over 27 hours, and I have to say I'm pretty frustrated with the Operations department. While the delivery was on time and I didn’t face any serious safety issues, the lack of communication and support really made the trip more stressful than it needed to be—my stress level was around a 7, and that’s not ideal for anyone on the road. I encountered unexpected delays due to poorly coordinated pickup times, which left me sitting around and wasting fuel. Plus, the routing provided didn’t consider some recent road closures, forcing me to make last-minute adjustments. It feels like these issues could easily be avoided with better planning and communication, so I really hope something changes soon.|1|2024-04-29 08:51:42
14|1|1|1|1|I'm writing to express my frustration with the HR department following my recent trip, which took over 10 hours and ended up being late. Not only did I face ridiculous stress levels - I’d say an 11 out of 10 - but I also experienced an assault during the route that was completely mishandled by HR when I reported it. The lack of support and empathy from their side made an already tough job feel unbearable, and honestly, it’s unacceptable that I had to deal with such a high trouble score of 8 out of 10 without any proper follow-up or assistance from HR. This kind of treatment is not what I, or any driver, should have to endure on the job.|1|2024-06-19 04:10:20
15|1|28|1|1|I just wrapped up Route 28, and I need to raise some serious concerns about the Finance department. While I managed to deliver on time after a grueling 17.5-hour trip, the stress level was through the roof, and I felt like I was juggling flaming swords the whole time, rating my stress at a solid 9.8 out of 10. What really pushed me over the edge was the payment processing for this route—it's been a total mess. I've yet to see the proper reimbursement for my expenses, and it feels like I’m constantly chasing down the Finance team for updates. This is not only frustrating but also incredibly demotivating, especially after such a long haul. I need them to step up and sort this out ASAP.|1|2024-06-20 06:46:05
16|1|27|1|1|I just wrapped up Route 27, and I gotta say, I’m pretty frustrated with the Operations department. The whole trip took nearly 12 hours, which is a lot, but what really got to me was the lack of communication regarding the delivery schedule. I was left hanging for over an hour at the drop-off point waiting for the unload crew to show up, which really ramped up my stress level. It’s like there’s no coordination on your end, and I ended up dealing with avoidable delays that could have been sorted out beforehand. I delivered on time, sure, but it shouldn’t have been such a hassle!|1|2024-06-21 10:27:42
17|1|45|1|1|I just wrapped up route 45, and while I managed to make the delivery on time, I need to voice my frustration with the Operations department. The lack of clear communication about the route changes really threw me off; I had to deal with unexpected detours that added unnecessary stress to my trip, which I rated a solid 7.5 out of 10 on the stress scale. I also found the load planning to be a mess—my trailer was overloaded, making it tough to handle on the road. It’s disappointing because my overall trouble score was pretty low at 2.0, but these issues from Operations added a layer of frustration that could have easily been avoided. Can we please work on improving this?|1|2024-06-27 15:09:49
18|1|46|1|1|I’m writing to express my serious concerns about the Operations department following my recent route 46 trip, which took an exhausting 13.25 hours and ended up being late. To make matters worse, I experienced an assault during the delivery, which left me shaken and added to my already high stress level of 11.8 out of 10. The lack of proper support and communication from Operations during this trip was unacceptable, and the overall trouble score of 8.1 clearly indicates that something needs to change. I really feel like the company isn’t prioritizing our safety and well-being out there on the road, and it’s affecting our ability to do our jobs effectively.|1|2024-08-17 12:43:55
19|1|28|1|1|I’m reaching out to express my frustration with the Human Resources department after completing route 28, which took me a grueling 18.57 hours. While I managed to get the delivery done on time, the stress level was through the roof at a solid 9.7, largely due to the lack of support and communication from HR regarding my schedule and the resources available for this route. The overall trouble score was decent at 1.45, but the constant confusion and last-minute changes made it incredibly tough to stay focused and safe on the road. It feels like HR is out of the loop about what we actually face out here, and it’s time they step up and start listening to us drivers to make our jobs a bit easier.|1|2024-08-19 01:31:46
20|1|27|1|1|I just wrapped up route 27, and I’ve got to say, I’m pretty frustrated with how things went down. While I did make the delivery on time, the whole experience was marred by the lack of proper communication from the Operations department. I encountered a major issue with the routing directions provided—there were several wrong turns that added unnecessary time to my trip, pushing my total driving hours to over 18. I also ran into a couple of maintenance issues with the trailer that I wasn’t warned about, which made for a stressful drive, hitting my stress level at about 7.7 out of 10. It feels like a simple heads-up about these things could have made a world of difference. I really think the Operations team needs to step up their game to prevent drivers like me from dealing with these frustrating hiccups on the road.|1|2024-08-20 00:40:19
21|1|45|1|1|I just wrapped up route 45, and I need to voice some serious concerns about the Operations department. The trip took nearly 18 hours, and while I did manage to deliver on time, the lack of communication from dispatch was frustrating. I had to deal with outdated route info and missed updates that threw me off track, causing unnecessary stress—my stress level hit a 7.4 out of 10. Plus, the load was poorly balanced which made handling the trailer more challenging than it should have been. I feel like the Operations team needs to step up their game and ensure drivers have the right info and support, because this kind of oversight just isn’t acceptable.|1|2024-08-21 03:24:17
22|1|27|1|1|I’m writing to express my frustration with the Finance department after completing route 27, which took me a grueling 17.6 hours and ended up being late due to a series of issues. Not only did I have to deal with some pretty aggressive drivers on the road—seriously, I felt like I was under assault at times—but the stress levels were off the charts, hitting an 11.5 out of 10. To top it all off, the financial reimbursement for this trip has been a nightmare; I’ve yet to see proper compensation for the extra time and stress incurred. With an overall trouble score of 8.1, this experience has been unacceptable, and I need clarity on what’s going on with my pay and why there isn’t more support for drivers dealing with these situations.|1|2024-10-03 03:43:39
23|1|28|1|1|I need to bring up some serious issues I faced on route 28. While I managed to make the delivery on time, the stress level throughout the trip was through the roof, hitting a solid 9.5 out of 10, and it felt like I was constantly navigating roadblocks thrown my way by the Operations department. Communication was lacking, leading to confusion about my pickup times and routes, which wasted precious hours and had me second-guessing myself the entire trip. I also encountered a couple of maintenance issues with the trailer that should have been addressed beforehand, which only added to the stress. Overall, I feel like the Operations team needs to step up their game to prevent these kinds of headaches for drivers like me.|1|2024-10-04 03:33:39
24|1|45|1|1|I just wrapped up route 45, which took me a grueling 17.5 hours, and while I managed to deliver on time, I've got some serious beef with the Finance department. First off, my reimbursement for fuel and tolls is way off from what I expected, and it feels like I'm getting the short end of the stick. I also noticed discrepancies in the mileage reported, which might have impacted my pay. It’s frustrating to put in all that hard work, only to see the numbers not add up on their end. I’m already dealing with enough stress on the road, and this just adds to it. Can we please get this sorted out?|1|2024-10-07 02:09:54
25|1|33|1|1|I just wrapped up route 33, and I have to say, this trip was a nightmare from start to finish. It took me a whopping 34.81 hours, and I missed my delivery window, which is unacceptable. On top of that, I experienced some pretty serious harassment from a couple of individuals at one of the stops—nothing physical, but it was definitely unnerving and added to my stress level, which was already through the roof at a 10.59! The whole experience left me feeling like I was constantly on edge, contributing to an overall trouble score of 8.07. I really think the Operations department needs to step up and address these issues seriously because we shouldn’t have to deal with this kind of stress on the road.|1|2024-11-04 11:34:57
26|1|17|1|1|I'm writing to express my frustration with the Operations department regarding my recent trip on route 17, which took me over 9 hours to complete. While I did manage to make the delivery on time, the stress throughout the journey was off the charts—I'd rate it a solid 9.2 out of 10. I encountered multiple delays due to poor route planning and a lack of communication about road conditions, which really ramped up the tension for what should have been a straightforward haul. It felt like I was flying blind without the support I needed, and it’s disappointing that after 5 years of driving, these issues still persist. I hope you can address these concerns to make future trips smoother for everyone involved.|1|2024-11-05 02:11:56
27|1|46|1|1|I’m writing to express my serious concerns regarding the Operations department following my recent route 46. It took me nearly 15 hours to complete, and not only was I late for delivery, but I also endured an assault during the trip, which ramped my stress level to an unbearable 14.8 out of 10. The lack of support and communication from the Operations team made a tough situation even worse; I felt completely abandoned when I needed help. Overall, my trouble score for this trip was an alarming 8.2, and I truly believe the Operations department needs to step up and address these issues before they put any more drivers in harm's way.|1|2024-11-06 16:47:03
